close,date,drawdown_60,rsi14,type,volume_ratio20
134290.0,20240520,,,DEATH_CROSS,
134290.0,20240520,,29.61,RSI_OVERSOLD,
134050.0,20240521,,29.31,RSI_OVERSOLD,
134050.0,20240521,,,BREAKOUT_DOWN_20D,
129680.0,20240525,,24.54,RSI_OVERSOLD,
129680.0,20240525,,,BREAKOUT_DOWN_20D,
129680.0,20240525,-0.1661,,DRAWDOWN_15PCT_60D,
124660.0,20240526,,20.43,RSI_OVERSOLD,
124660.0,20240526,,,BREAKOUT_DOWN_20D,
124660.0,20240526,-0.1984,,DRAWDOWN_15PCT_60D,
124570.0,20240527,,20.36,RSI_OVERSOLD,
124570.0,20240527,,,BREAKOUT_DOWN_20D,
124570.0,20240527,-0.199,,DRAWDOWN_15PCT_60D,
129130.0,20240528,-0.1696,,DRAWDOWN_15PCT_60D,
129970.0,20240608,-0.1642,,DRAWDOWN_15PCT_60D,
139840.0,20240611,,,VOLUME_SPIKE_2X,2.3
140910.0,20240624,,,BREAKOUT_UP_20D,
145990.0,20240626,,,BREAKOUT_UP_20D,
144210.0,20240629,,,VOLUME_SPIKE_2X,2.28
154800.0,20240706,,,BREAKOUT_UP_20D,
151090.0,20240707,,,VOLUME_SPIKE_2X,2.06
143620.0,20240709,,,GOLDEN_CROSS,
133370.0,20240729,,,BREAKOUT_DOWN_20D,
132420.0,20240730,,,BREAKOUT_DOWN_20D,
125070.0,20240731,,,BREAKOUT_DOWN_20D,
125070.0,20240731,-0.1921,,DRAWDOWN_15PCT_60D,
119930.0,20240803,,29.47,RSI_OVERSOLD,
119930.0,20240803,,,BREAKOUT_DOWN_20D,
119930.0,20240803,-0.2253,,DRAWDOWN_15PCT_60D,
121420.0,20240804,-0.2156,,DRAWDOWN_15PCT_60D,
120540.0,20240805,-0.2213,,DRAWDOWN_15PCT_60D,
120150.0,20240806,,,DEATH_CROSS,
120150.0,20240806,-0.2238,,DRAWDOWN_15PCT_60D,
120150.0,20240807,-0.2238,,DRAWDOWN_15PCT_60D,
122120.0,20240810,-0.2111,,DRAWDOWN_15PCT_60D,
122800.0,20240811,-0.2067,,DRAWDOWN_15PCT_60D,
120730.0,20240812,-0.2201,,DRAWDOWN_15PCT_60D,
118560.0,20240813,,,BREAKOUT_DOWN_20D,
118560.0,20240813,-0.2341,,DRAWDOWN_15PCT_60D,
120930.0,20240814,-0.2188,,DRAWDOWN_15PCT_60D,
123340.0,20240817,-0.2032,,DRAWDOWN_15PCT_60D,
125800.0,20240818,-0.1873,,DRAWDOWN_15PCT_60D,
127250.0,20240819,-0.178,,DRAWDOWN_15PCT_60D,
125920.0,20240820,-0.1866,,DRAWDOWN_15PCT_60D,
127020.0,20240821,-0.1795,,DRAWDOWN_15PCT_60D,
129440.0,20240824,-0.1638,,DRAWDOWN_15PCT_60D,
129940.0,20240826,-0.1606,,DRAWDOWN_15PCT_60D,
130640.0,20240827,-0.1561,,DRAWDOWN_15PCT_60D,
132990.0,20240828,,,BREAKOUT_UP_20D,
135640.0,20240831,,,BREAKOUT_UP_20D,
137360.0,20240901,,,VOLUME_SPIKE_2X,2.51
137360.0,20240901,,,BREAKOUT_UP_20D,
138010.0,20240909,,,BREAKOUT_UP_20D,
134830.0,20240918,,,GOLDEN_CROSS,
138710.0,20240924,,,VOLUME_SPIKE_2X,2.61
138710.0,20240924,,,BREAKOUT_UP_20D,
137440.0,20240925,,,VOLUME_SPIKE_2X,2.39
130790.0,20241002,,,BREAKOUT_DOWN_20D,
130790.0,20241002,-0.1551,,DRAWDOWN_15PCT_60D,
129500.0,20241005,,,BREAKOUT_DOWN_20D,
129500.0,20241005,-0.1634,,DRAWDOWN_15PCT_60D,
128210.0,20241006,,,BREAKOUT_DOWN_20D,
128210.0,20241006,-0.1718,,DRAWDOWN_15PCT_60D,
126970.0,20241007,,,BREAKOUT_DOWN_20D,
126970.0,20241007,-0.1596,,DRAWDOWN_15PCT_60D,
126950.0,20241009,,,BREAKOUT_DOWN_20D,
125450.0,20241014,,,BREAKOUT_DOWN_20D,
121850.0,20241015,,,BREAKOUT_DOWN_20D,
119520.0,20241019,,29.59,RSI_OVERSOLD,
119520.0,20241019,,,BREAKOUT_DOWN_20D,
116160.0,20241020,,,DEATH_CROSS,
116160.0,20241020,,25.87,RSI_OVERSOLD,
116160.0,20241020,,,BREAKOUT_DOWN_20D,
116160.0,20241020,-0.1637,,DRAWDOWN_15PCT_60D,
117200.0,20241021,,28.85,RSI_OVERSOLD,
117200.0,20241021,-0.1562,,DRAWDOWN_15PCT_60D,
116630.0,20241022,,28.18,RSI_OVERSOLD,
116630.0,20241022,-0.1592,,DRAWDOWN_15PCT_60D,
113270.0,20241023,,24.57,RSI_OVERSOLD,
113270.0,20241023,,,BREAKOUT_DOWN_20D,
113270.0,20241023,-0.1834,,DRAWDOWN_15PCT_60D,
116660.0,20241026,-0.159,,DRAWDOWN_15PCT_60D,
123710.0,20241028,,,VOLUME_SPIKE_2X,2.88
117510.0,20241104,-0.1528,,DRAWDOWN_15PCT_60D,
129750.0,20241111,,,VOLUME_SPIKE_2X,2.96
129750.0,20241111,,,BREAKOUT_UP_20D,
130390.0,20241112,,,VOLUME_SPIKE_2X,2.92
130390.0,20241112,,,BREAKOUT_UP_20D,
131880.0,20241113,,,BREAKOUT_UP_20D,
135830.0,20241116,,,BREAKOUT_UP_20D,
138080.0,20241117,,70.41,RSI_OVERBOUGHT,
138080.0,20241117,,,VOLUME_SPIKE_2X,2.92
138080.0,20241117,,,BREAKOUT_UP_20D,
141180.0,20241118,,73.29,RSI_OVERBOUGHT,
141180.0,20241118,,,BREAKOUT_UP_20D,
141950.0,20241119,,73.97,RSI_OVERBOUGHT,
141950.0,20241119,,,VOLUME_SPIKE_2X,2.11
141950.0,20241119,,,BREAKOUT_UP_20D,
144980.0,20241124,,,GOLDEN_CROSS,
144980.0,20241124,,72.49,RSI_OVERBOUGHT,
144980.0,20241124,,,BREAKOUT_UP_20D,
148940.0,20241125,,75.62,RSI_OVERBOUGHT,
148940.0,20241125,,,BREAKOUT_UP_20D,
149360.0,20241126,,75.93,RSI_OVERBOUGHT,
149360.0,20241126,,,VOLUME_SPIKE_2X,2.89
149360.0,20241126,,,BREAKOUT_UP_20D,
149650.0,20241127,,76.16,RSI_OVERBOUGHT,
149650.0,20241127,,,VOLUME_SPIKE_2X,2.62
149650.0,20241127,,,BREAKOUT_UP_20D,
147700.0,20241130,,71.28,RSI_OVERBOUGHT,
149680.0,20241202,,70.56,RSI_OVERBOUGHT,
149680.0,20241202,,,BREAKOUT_UP_20D,
152480.0,20241203,,73.07,RSI_OVERBOUGHT,
152480.0,20241203,,,BREAKOUT_UP_20D,
154020.0,20241204,,74.36,RSI_OVERBOUGHT,
154020.0,20241204,,,BREAKOUT_UP_20D,
154150.0,20241210,,,BREAKOUT_UP_20D,
156720.0,20241211,,70.39,RSI_OVERBOUGHT,
156720.0,20241211,,,BREAKOUT_UP_20D,
161420.0,20241214,,74.16,RSI_OVERBOUGHT,
161420.0,20241214,,,BREAKOUT_UP_20D,
166260.0,20241215,,77.36,RSI_OVERBOUGHT,
166260.0,20241215,,,BREAKOUT_UP_20D,
171240.0,20241216,,80.09,RSI_OVERBOUGHT,
171240.0,20241216,,,BREAKOUT_UP_20D,
174640.0,20241217,,81.71,RSI_OVERBOUGHT,
174640.0,20241217,,,VOLUME_SPIKE_2X,3.38
174640.0,20241217,,,BREAKOUT_UP_20D,
178110.0,20241218,,83.21,RSI_OVERBOUGHT,
178110.0,20241218,,,BREAKOUT_UP_20D,
178110.0,20241221,,83.21,RSI_OVERBOUGHT,
178110.0,20241222,,83.21,RSI_OVERBOUGHT,
190660.0,20241224,,71.79,RSI_OVERBOUGHT,
190660.0,20241224,,,VOLUME_SPIKE_2X,2.74
190660.0,20241224,,,BREAKOUT_UP_20D,
189820.0,20241225,,70.98,RSI_OVERBOUGHT,
189820.0,20241225,,,VOLUME_SPIKE_2X,2.18
166420.0,20250127,,,BREAKOUT_DOWN_20D,
162640.0,20250201,,,BREAKOUT_DOWN_20D,
170140.0,20250205,,,VOLUME_SPIKE_2X,2.12
172880.0,20250211,,,VOLUME_SPIKE_2X,2.26
167720.0,20250215,,,DEATH_CROSS,
162040.0,20250222,,,BREAKOUT_DOWN_20D,
162040.0,20250222,-0.1501,,DRAWDOWN_15PCT_60D,
175010.0,20250225,,,BREAKOUT_UP_20D,
175020.0,20250226,,,BREAKOUT_UP_20D,
175410.0,20250301,,,BREAKOUT_UP_20D,
178840.0,20250302,,,VOLUME_SPIKE_2X,2.03
178840.0,20250302,,,BREAKOUT_UP_20D,
174440.0,20250304,,,VOLUME_SPIKE_2X,2.08
160640.0,20250309,,,BREAKOUT_DOWN_20D,
160640.0,20250309,-0.1575,,DRAWDOWN_15PCT_60D,
160100.0,20250310,,,BREAKOUT_DOWN_20D,
160100.0,20250310,-0.1603,,DRAWDOWN_15PCT_60D,
156850.0,20250311,,,BREAKOUT_DOWN_20D,
156850.0,20250311,-0.1773,,DRAWDOWN_15PCT_60D,
157510.0,20250312,-0.1739,,DRAWDOWN_15PCT_60D,
160120.0,20250317,-0.1602,,DRAWDOWN_15PCT_60D,
155330.0,20250318,,,BREAKOUT_DOWN_20D,
155330.0,20250318,-0.1853,,DRAWDOWN_15PCT_60D,
159950.0,20250325,-0.1611,,DRAWDOWN_15PCT_60D,
160690.0,20250326,-0.1572,,DRAWDOWN_15PCT_60D,
157900.0,20250329,-0.1718,,DRAWDOWN_15PCT_60D,
161110.0,20250330,-0.155,,DRAWDOWN_15PCT_60D,
157670.0,20250405,-0.1694,,DRAWDOWN_15PCT_60D,
155240.0,20250406,,,BREAKOUT_DOWN_20D,
155240.0,20250406,-0.1587,,DRAWDOWN_15PCT_60D,
152500.0,20250407,,,BREAKOUT_DOWN_20D,
152500.0,20250407,-0.1735,,DRAWDOWN_15PCT_60D,
156420.0,20250409,-0.1523,,DRAWDOWN_15PCT_60D,
166530.0,20250414,,,VOLUME_SPIKE_2X,2.82
166530.0,20250414,,,BREAKOUT_UP_20D,
170560.0,20250419,,,BREAKOUT_UP_20D,
175670.0,20250420,,,BREAKOUT_UP_20D,
180570.0,20250421,,,VOLUME_SPIKE_2X,2.34
180570.0,20250421,,,BREAKOUT_UP_20D,
184170.0,20250422,,70.07,RSI_OVERBOUGHT,
184170.0,20250422,,,BREAKOUT_UP_20D,
189690.0,20250423,,73.35,RSI_OVERBOUGHT,
189690.0,20250423,,,BREAKOUT_UP_20D,
195380.0,20250426,,76.24,RSI_OVERBOUGHT,
195380.0,20250426,,,VOLUME_SPIKE_2X,2.39
195380.0,20250426,,,BREAKOUT_UP_20D,
198980.0,20250427,,,GOLDEN_CROSS,
198980.0,20250427,,77.87,RSI_OVERBOUGHT,
198980.0,20250427,,,VOLUME_SPIKE_2X,2.18
198980.0,20250427,,,BREAKOUT_UP_20D,
204940.0,20250428,,80.29,RSI_OVERBOUGHT,
204940.0,20250428,,,BREAKOUT_UP_20D,
199950.0,20250429,,73.09,RSI_OVERBOUGHT,
199950.0,20250429,,,VOLUME_SPIKE_2X,2.83
203000.0,20250430,,74.59,RSI_OVERBOUGHT,
203000.0,20250430,,,VOLUME_SPIKE_2X,2.06
210310.0,20250512,,71.57,RSI_OVERBOUGHT,
210310.0,20250512,,,BREAKOUT_UP_20D,
216610.0,20250513,,74.6,RSI_OVERBOUGHT,
216610.0,20250513,,,BREAKOUT_UP_20D,
222210.0,20250514,,76.95,RSI_OVERBOUGHT,
222210.0,20250514,,,VOLUME_SPIKE_2X,2.35
222210.0,20250514,,,BREAKOUT_UP_20D,
218760.0,20250517,,72.5,RSI_OVERBOUGHT,
220970.0,20250518,,73.55,RSI_OVERBOUGHT,
226660.0,20250519,,76.09,RSI_OVERBOUGHT,
226660.0,20250519,,,BREAKOUT_UP_20D,
224690.0,20250520,,73.46,RSI_OVERBOUGHT,
198910.0,20250609,,,BREAKOUT_DOWN_20D,
195090.0,20250628,,,BREAKOUT_DOWN_20D,
189240.0,20250629,,,BREAKOUT_DOWN_20D,
189240.0,20250629,-0.1651,,DRAWDOWN_15PCT_60D,
183570.0,20250630,,,DEATH_CROSS,
183570.0,20250630,,25.76,RSI_OVERSOLD,
183570.0,20250630,,,BREAKOUT_DOWN_20D,
183570.0,20250630,-0.1901,,DRAWDOWN_15PCT_60D,
178070.0,20250701,,22.33,RSI_OVERSOLD,
178070.0,20250701,,,BREAKOUT_DOWN_20D,
178070.0,20250701,-0.2144,,DRAWDOWN_15PCT_60D,
172730.0,20250702,,19.61,RSI_OVERSOLD,
172730.0,20250702,,,BREAKOUT_DOWN_20D,
172730.0,20250702,-0.2379,,DRAWDOWN_15PCT_60D,
171760.0,20250707,,19.15,RSI_OVERSOLD,
171760.0,20250707,,,VOLUME_SPIKE_2X,3.34
171760.0,20250707,,,BREAKOUT_DOWN_20D,
171760.0,20250707,-0.2422,,DRAWDOWN_15PCT_60D,
166810.0,20250708,,16.97,RSI_OVERSOLD,
166810.0,20250708,,,BREAKOUT_DOWN_20D,
166810.0,20250708,-0.2641,,DRAWDOWN_15PCT_60D,
162030.0,20250709,,15.18,RSI_OVERSOLD,
162030.0,20250709,,,VOLUME_SPIKE_2X,3.52
162030.0,20250709,,,BREAKOUT_DOWN_20D,
162030.0,20250709,-0.2851,,DRAWDOWN_15PCT_60D,
165950.0,20250712,,22.42,RSI_OVERSOLD,
165950.0,20250712,,,VOLUME_SPIKE_2X,2.19
165950.0,20250712,-0.2678,,DRAWDOWN_15PCT_60D,
162330.0,20250713,,20.67,RSI_OVERSOLD,
162330.0,20250713,,,VOLUME_SPIKE_2X,2.5
162330.0,20250713,-0.2838,,DRAWDOWN_15PCT_60D,
160970.0,20250714,,20.03,RSI_OVERSOLD,
160970.0,20250714,,,BREAKOUT_DOWN_20D,
160970.0,20250714,-0.2898,,DRAWDOWN_15PCT_60D,
159410.0,20250715,,19.3,RSI_OVERSOLD,
159410.0,20250715,,,BREAKOUT_DOWN_20D,
159410.0,20250715,-0.2967,,DRAWDOWN_15PCT_60D,
163320.0,20250716,,26.54,RSI_OVERSOLD,
163320.0,20250716,,,VOLUME_SPIKE_2X,2.98
163320.0,20250716,-0.2794,,DRAWDOWN_15PCT_60D,
165130.0,20250719,,29.69,RSI_OVERSOLD,
165130.0,20250719,-0.2715,,DRAWDOWN_15PCT_60D,
164640.0,20250720,,29.32,RSI_OVERSOLD,
164640.0,20250720,-0.2736,,DRAWDOWN_15PCT_60D,
168370.0,20250721,-0.2572,,DRAWDOWN_15PCT_60D,
173420.0,20250722,-0.2349,,DRAWDOWN_15PCT_60D,
173420.0,20250723,-0.2349,,DRAWDOWN_15PCT_60D,
173420.0,20250726,-0.2349,,DRAWDOWN_15PCT_60D,
