date,close,return_1d,sma5,sma20,sma50,ema12,ema26,rsi14,macd,macd_signal,atr14,volume_ratio20,roc20,drawdown_60,breakout_up20,breakout_down20,composite_score,prediction,future_return_5d,prediction_correct
20211124,71320.0,-0.009719522354901367,71642.0,72726.5,74527.4,72468.47741966369,73085.15436301974,45.787902931772535,-616.6769433560548,-537.2388930823973,1657.2346753900536,0.47901292641991855,0.02677800172761291,-0.18621633957097217,False,False,-4,DOWN,-0.03337072349971959,True
20211127,69350.0,-0.027621985417835115,71466.0,72793.5,74354.4,71988.71166279235,72808.47626205532,41.9518063944612,-819.7645992629696,-593.7440343185118,1679.5750557193353,0.5544035136392763,0.019702984855168415,-0.20388015153254502,False,False,-4,DOWN,0.009805335255948178,False
20211128,70080.0,0.010526315789473717,71224.0,73046.0,74146.0,71695.06371467045,72606.36690931048,43.82976632801785,-911.3031946400297,-657.2558663828154,1611.748266025097,0.41916638210719664,0.07765646624634792,-0.19549994260130865,False,False,-4,DOWN,0.012842465753424737,False
20211129,70310.0,0.0032819634703196154,70616.0,73088.5,73956.6,71481.97698933654,72436.26565676897,44.43965727666798,-954.2886674324254,-716.6624265927375,1513.0519613090187,0.45176075079988975,0.01223725885401672,-0.19285960280105618,False,False,-4,DOWN,-0.006969136680415322,True
20211130,70140.0,-0.002417863746266513,70240.0,72992.5,73825.8,71275.51899097707,72266.17190441572,44.05886769479355,-990.652913438651,-771.4605239619202,1417.1196783583746,0.4578731866593707,-0.026644462947543746,-0.17394888705688372,False,False,-4,DOWN,-0.0029940119760478723,True
20211201,68940.0,-0.017108639863130826,69764.0,72798.5,73692.6,70916.2083769806,72019.78880038494,41.36448671189028,-1103.5804234043317,-837.8845038504026,1401.6111299042047,0.35698124190758396,-0.05328206536665747,-0.188081498056766,False,True,-5,DOWN,0.0348128807658834,False
20211204,70030.0,0.01581085001450533,69900.0,72425.0,73558.2,70779.86862667589,71872.39703739346,44.67414921230942,-1092.5284107175685,-888.8132852238358,1379.3531920539044,1.0077852744895004,-0.09638709677419355,-0.16471851145038163,False,False,-4,DOWN,0.0021419391689276868,False
20211205,70980.0,0.013565614736541498,70080.0,72186.0,73497.6,70810.65806872575,71806.2935531421,47.45778947152645,-995.6354844163434,-910.1777250623373,1348.6851069071968,0.9364616682088927,-0.06309398099260821,-0.15338740458015265,False,False,-4,DOWN,-0.03240349394195552,True
20211206,69820.0,-0.016342631727247148,69982.0,71951.0,73387.2,70658.24913507563,71659.1606973538,44.51276665704165,-1000.9115622781683,-928.3244925055036,1335.2075992709686,0.6372904643962229,-0.06307031669350505,-0.1672232824427481,False,False,-4,DOWN,-0.024634775136064158,True
20211207,69930.0,0.0015754798052134422,69940.0,71545.5,73188.8,70546.21080660247,71531.07471977203,44.86218850939446,-984.8639131695672,-939.6323766383164,1247.6927707516136,0.7439586228049934,-0.10392106611993845,-0.1431197157211126,False,False,-4,DOWN,-0.023738023738023695,True
